nta,violation_count,violation_lead,violation_mold,violation_pests,violation_heat,violation_health_total,violation_severity_score,violation_class_A,violation_class_B,violation_class_C,violation_class_I,complaint_count,problem_count,complaint_heat,complaint_mold,complaint_pests,complaint_lead,complaint_water,complaint_health_total,complaint_severity_score,nta_code,borough,building_count,violation_per_bldg,violation_health_per_bldg,complaint_per_bldg,complaint_health_per_bldg,violation_per_bldg_pctl,complaint_per_bldg_pctl,violation_health_per_bldg_pctl,complaint_health_per_bldg_pctl,asthma_rate_per_10k,lead_rate_per_1k,asthma_pctl,lead_pctl,total_units,pct_pre_1950,pct_pre_1978,avg_building_age,median_year_built,median_income,pct_white,pct_black,pct_hispanic,building_age_score,income_adjustment,complaint_health_adjusted,complaints_score_adjusted,asthma_match,asthma_match_score,lead_match,lead_match_score,violations_score,complaints_score,asthma_score,lead_score,housing_health_index,risk_tier,index_rank
Lower East Side,15382.0,415.0,386.0,3906.0,1058.0,5401.0,30054.0,4344.0,5556.0,4558.0,924.0,7641.0,11338.0,4545.0,395.0,976.0,657.0,5972.0,8000.0,11338.0,MN0302,Manhattan,589.0,26.115449915110357,9.169779286926994,12.97283531409168,13.582342954159593,64.85148514851485,66.33663366336634,52.97029702970298,62.87128712871287,391.84921259842514,7.5,79.18781725888326,19.29824561403509,18048.0,85.06375227686704,87.7959927140255,102.8488160291439,1910.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,63.81909547738693,1.089156951198049,12.47051027789825,61.5,Lower East Side,1.0,Lower East Side,1.0,52.97029702970298,61.5,79.18781725888326,19.298245614035086,56.3802989505315,Elevated Risk,71
Madison,16709.0,958.0,577.0,3975.0,682.0,5542.0,32820.0,3918.0,7417.0,4347.0,1027.0,7127.0,10478.0,4153.0,420.0,943.0,840.0,5677.0,7880.0,10478.0,BK1502,Brooklyn,470.0,35.55106382978723,11.791489361702128,15.163829787234045,16.76595744680851,72.77227722772277,70.79207920792079,68.8118811881188,69.3069306930693,34.6,16.3,6.598984771573605,75.43859649122807,8358.0,73.17596566523605,83.69098712446352,80.52575107296137,1930.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,49.74874371859296,0.9665983064861458,17.345320526949234,68.0,Madison,1.0,Madison,1.0,68.8118811881188,68.0,6.598984771573605,75.43859649122807,55.254025156293864,Elevated Risk,72
Sunnyside,26104.0,1307.0,799.0,8176.0,1154.0,10401.0,49561.0,7534.0,8733.0,7362.0,2475.0,13703.0,19772.0,9001.0,712.0,1700.0,1672.0,11313.0,15397.0,19772.0,QN0202,Queens,1082.0,24.12569316081331,9.61275415896488,12.664510166358594,14.230129390018485,62.37623762376238,64.35643564356435,58.415841584158414,63.86138613861386,69.61818181818181,13.0,25.380710659898476,51.53508771929825,17824.0,88.26815642458101,95.06517690875232,90.33054003724396,1929.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,90.95477386934674,1.0,14.230129390018485,63.0,Hunters Point-Sunnyside-West Maspeth,1.0,Hunters Point-Sunnyside-West Maspeth,1.0,58.415841584158414,63.0,25.380710659898476,51.53508771929825,55.17663515205663,Elevated Risk,73
Jamaica Estates-Holliswood,5785.0,378.0,232.0,1687.0,228.0,2333.0,11552.0,1380.0,2037.0,1865.0,503.0,3890.0,5873.0,2373.0,247.0,656.0,503.0,3173.0,4579.0,5873.0,QN0804,Queens,176.0,32.86931818181818,13.255681818181818,22.102272727272727,26.017045454545453,72.27722772277228,78.21782178217822,72.27722772277228,77.72277227722772,122.68202247191012,9.4,41.87817258883248,30.70175438596491,5517.0,30.28571428571429,59.42857142857143,55.27428571428572,1960.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,9.547738693467336,1.0,26.017045454545453,77.5,Jamaica Estates-Holliswood,1.0,Jamaica Estates-Holliswood,1.0,72.27722772277228,77.5,41.878172588832484,30.701754385964914,54.99383986183965,Elevated Risk,74
Bushwick (East),59595.0,1394.0,1865.0,22797.0,3778.0,27951.0,107933.0,17347.0,19500.0,14419.0,8329.0,16348.0,28901.0,7362.0,1849.0,3223.0,2306.0,12153.0,19531.0,28901.0,BK0402,Brooklyn,3117.0,19.11934552454283,8.967276227141483,5.244786653833814,6.2659608598010905,50.99009900990099,31.683168316831683,49.504950495049506,33.663366336633665,281.4370491803279,18.7,70.81218274111674,83.55263157894737,16678.0,82.36245954692556,82.52427184466019,94.26278317152104,1915.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,46.231155778894475,0.9665983064861458,6.482486900457755,34.0,Bushwick North,1.0,Bushwick North,1.0,49.504950495049506,34.0,70.81218274111674,83.55263157894737,54.669932011469754,Elevated Risk,75
Far Rockaway-Bayswater,37129.0,937.0,1740.0,10707.0,1808.0,14023.0,71843.0,8928.0,14742.0,9986.0,3473.0,13915.0,26240.0,6224.0,1562.0,3915.0,2417.0,10444.0,18338.0,26240.0,QN1401,Queens,1181.0,31.43861134631668,11.873835732430145,11.782387806943268,15.527519051651144,69.80198019801979,61.386138613861384,69.3069306930693,66.33663366336634,147.89326145552562,12.4,46.7005076142132,48.68421052631579,13023.0,37.14531384350817,53.396388650042994,57.00859845227859,1965.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,6.532663316582915,1.0,15.527519051651144,65.0,Far Rockaway-Bayswater,1.0,Far Rockaway-Bayswater,1.0,69.3069306930693,65.0,46.7005076142132,48.68421052631579,54.3380786413691,Elevated Risk,76
Pelham Bay-Country Club-City Island,14942.0,495.0,563.0,6154.0,807.0,7484.0,26449.0,4438.0,4795.0,3356.0,2353.0,8419.0,12828.0,5232.0,520.0,1128.0,1152.0,6664.0,9464.0,12828.0,BX1003,Bronx,739.0,20.219215155615696,10.127198917456022,11.392422192151557,12.806495263870096,53.46534653465347,59.900990099009896,61.88118811881188,61.386138613861384,216.86666666666665,6.2,61.42131979695431,13.37719298245614,6479.0,64.40217391304348,84.375,80.11684782608695,1930.0,48475.0,17.850477002349553,34.07937071923219,56.382618660742,51.75879396984925,0.8450025656272843,15.15556968086037,64.5,Pelham Bay-Country Club-City Island,1.0,Pelham Bay-Country Club-City Island,1.0,61.88118811881188,64.5,61.42131979695431,13.37719298245614,54.156078739387766,Elevated Risk,77
Mapleton-Midwood (West),16804.0,741.0,537.0,7246.0,507.0,8392.0,29341.0,5224.0,5365.0,3586.0,2629.0,5840.0,9299.0,3320.0,290.0,1020.0,727.0,4548.0,6585.0,9299.0,BK1204,Brooklyn,803.0,20.926525529265255,10.450809464508094,7.272727272727272,8.20049813200498,55.940594059405946,44.554455445544555,63.86138613861386,44.05940594059406,30.23333333333333,36.2,4.822335025380711,98.02631578947368,6673.0,87.43654822335026,92.25888324873095,89.43147208121827,1930.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,80.40201005025126,0.9665983064861458,8.48387388740218,45.0,Midwood,0.6086956521739131,Midwood,0.6086956521739131,63.86138613861386,45.0,4.822335025380711,98.02631578947368,54.117031220106476,Elevated Risk,78
Kew Gardens,9861.0,415.0,350.0,2483.0,356.0,3282.0,19054.0,2745.0,3733.0,2730.0,653.0,5131.0,8215.0,2713.0,425.0,910.0,801.0,3955.0,6091.0,8215.0,QN0901,Queens,304.0,32.4375,10.796052631578949,16.87828947368421,20.036184210526315,71.78217821782178,73.76237623762376,65.34653465346535,73.76237623762376,105.59714285714286,11.9,33.50253807106599,44.29824561403509,9120.0,52.348993288590606,76.1744966442953,72.6006711409396,1941.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,29.14572864321608,1.0,20.036184210526315,72.0,Kew Gardens,1.0,Kew Gardens,1.0,65.34653465346535,72.0,33.50253807106599,44.29824561403509,53.86377771667968,Elevated Risk,79
Prospect Heights,21511.0,712.0,747.0,7762.0,1175.0,9540.0,39470.0,6224.0,7875.0,5042.0,2370.0,7558.0,12316.0,3784.0,451.0,1234.0,1075.0,5800.0,8560.0,12316.0,BK0801,Brooklyn,928.0,23.17995689655172,10.280172413793103,8.144396551724139,9.224137931034482,60.89108910891089,49.00990099009901,62.87128712871287,48.51485148514851,116.0418918918919,13.2,38.07106598984771,53.07017543859649,9916.0,86.96604600219058,87.40416210295729,106.82584884994525,1910.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,62.8140703517588,0.9665983064861458,9.542886501184546,50.0,Prospect Heights,1.0,Prospect Heights,1.0,62.87128712871287,50.0,38.07106598984771,53.07017543859649,53.217532687548754,Elevated Risk,80
