nta,violation_count,violation_lead,violation_mold,violation_pests,violation_heat,violation_health_total,violation_severity_score,violation_class_A,violation_class_B,violation_class_C,violation_class_I,complaint_count,problem_count,complaint_heat,complaint_mold,complaint_pests,complaint_lead,complaint_water,complaint_health_total,complaint_severity_score,nta_code,borough,building_count,violation_per_bldg,violation_health_per_bldg,complaint_per_bldg,complaint_health_per_bldg,violation_per_bldg_pctl,complaint_per_bldg_pctl,violation_health_per_bldg_pctl,complaint_health_per_bldg_pctl,asthma_rate_per_10k,lead_rate_per_1k,asthma_pctl,lead_pctl,total_units,pct_pre_1950,pct_pre_1978,avg_building_age,median_year_built,median_income,pct_white,pct_black,pct_hispanic,building_age_score,income_adjustment,complaint_health_adjusted,complaints_score_adjusted,asthma_match,asthma_match_score,lead_match,lead_match_score,violations_score,complaints_score,asthma_score,lead_score,housing_health_index,risk_tier,index_rank
Sunset Park (West),37719.0,1118.0,1389.0,15784.0,1782.0,18669.0,66865.0,11954.0,11814.0,8666.0,5285.0,8831.0,16122.0,4599.0,701.0,1778.0,1389.0,6660.0,10528.0,16122.0,BK0702,Brooklyn,1950.0,19.34307692307692,9.573846153846151,4.528717948717949,5.398974358974359,51.98019801980198,26.732673267326735,56.930693069306926,27.72277227722773,120.28095238095236,13.4,40.10152284263959,55.26315789473685,11343.0,91.53686396677053,92.47144340602284,102.47092419522326,1914.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,81.4070351758794,0.9665983064861458,5.585540883680146,27.0,Sunset Park West,1.0,Sunset Park West,1.0,56.930693069306926,27.0,40.10152284263959,55.26315789473685,48.27968969111846,Moderate Risk,91
Prospect Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,5.0,0.0,2.0,3.0,6.0,11.0,13.0,BK5591,Brooklyn,0.0,,,,,,,,,120.28095238095236,13.4,40.10152284263959,55.26315789473685,,,,,,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,,0.9665983064861458,,,Sunset Park West,0.6666666666666666,Sunset Park West,0.6666666666666666,,,40.10152284263959,55.26315789473685,48.145760784411046,Moderate Risk,92
Tottenville-Charleston,617.0,1.0,44.0,389.0,46.0,466.0,916.0,91.0,107.0,96.0,323.0,402.0,552.0,136.0,39.0,42.0,18.0,217.0,316.0,552.0,SI0305,Staten Island,115.0,5.3652173913043475,4.052173913043478,3.4956521739130433,2.747826086956522,1.98019801980198,13.861386138613865,3.96039603960396,4.9504950495049505,,14.8,,65.78947368421053,240.0,41.07142857142857,47.32142857142857,60.9375,1983.0,99458.0,66.45542993993297,9.842619061788795,18.620572186115428,4.522613065326634,1.0483217557530449,2.6211667094351827,3.5000000000000004,,,,,3.9603960396039604,3.5000000000000004,,65.78947368421053,48.145760784411046,Moderate Risk,92
Brooklyn Navy Yard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,BK0261,Brooklyn,0.0,,,,,,,,,,22.3,,90.13157894736842,,,,,,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,,0.9665983064861458,,,,,,,,,,90.13157894736842,48.145760784411046,Moderate Risk,92
Spring Creek Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,QN1091,Queens,0.0,,,,,,,,,,14.3,,61.8421052631579,,,,,,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,,1.0,,,,,,,,,,61.8421052631579,48.145760784411046,Moderate Risk,92
Central Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,7.0,1.0,3.0,0.0,12.0,16.0,20.0,MN6491,Manhattan,0.0,,,,,,,,,403.2790064102565,14.0,81.47208121827411,58.114035087719294,,,,,,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,,1.089156951198049,,,Central Harlem South,0.7692307692307693,Central Harlem South,0.7692307692307693,,,81.47208121827411,58.114035087719294,48.145760784411046,Moderate Risk,92
Cunningham Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,QN0891,Queens,0.0,,,,,,,,,,14.3,,61.8421052631579,,,,,,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,,1.0,,,,,,,,,,61.8421052631579,48.145760784411046,Moderate Risk,92
Randall's Island,5.0,0.0,0.0,2.0,3.0,5.0,11.0,0.0,0.0,3.0,2.0,37.0,37.0,34.0,0.0,0.0,0.0,35.0,35.0,37.0,MN1191,Manhattan,1.0,5.0,5.0,37.0,35.0,1.4851485148514851,88.61386138613861,7.425742574257425,84.15841584158416,,8.1,,26.096491228070175,,,,,,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,,1.089156951198049,32.13494617235905,82.5,,,,,7.425742574257425,82.5,,26.096491228070175,48.145760784411046,Moderate Risk,92
The Evergreens Cemetery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,BK0471,Brooklyn,0.0,,,,,,,,,,22.3,,90.13157894736842,,,,,,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,,0.9665983064861458,,,,,,,,,,90.13157894736842,48.145760784411046,Moderate Risk,92
Flushing Meadows-Corona Park,13.0,0.0,1.0,6.0,0.0,7.0,26.0,5.0,1.0,6.0,1.0,10.0,13.0,3.0,1.0,1.0,1.0,6.0,9.0,13.0,QN8191,Queens,1.0,13.0,7.0,10.0,9.0,26.48514851485149,55.940594059405946,29.207920792079207,46.53465346534654,,14.3,,61.8421052631579,,,,,,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,,1.0,9.0,47.0,,,,,29.207920792079207,47.0,,61.8421052631579,48.145760784411046,Moderate Risk,92
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.0,1541.0,295.0,148.0,186.0,123.0,568.0,1025.0,1541.0,SI0203,Staten Island,0.0,,,,,,,,,48.252631578947366,6.1,14.467005076142131,12.5,,,,,,99458.0,66.45542993993297,9.842619061788795,18.620572186115428,,1.0483217557530449,,,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1.0,,,14.467005076142131,12.5,48.145760784411046,Moderate Risk,92
Hutchinson Metro Center,22.0,0.0,0.0,6.0,6.0,12.0,40.0,6.0,2.0,8.0,6.0,29.0,34.0,21.0,1.0,3.0,2.0,26.0,32.0,34.0,BX1161,Bronx,2.0,11.0,6.0,14.5,16.0,17.82178217821782,69.3069306930693,14.85148514851485,67.82178217821783,,15.0,,70.17543859649122,4.0,100.0,100.0,91.0,1934.0,48475.0,17.850477002349553,34.07937071923219,56.382618660742,100.0,0.8450025656272843,18.93485375174271,71.0,,,,,14.85148514851485,71.0,,70.17543859649122,48.145760784411046,Moderate Risk,92
Stuyvesant Town-Peter Cooper Village,433.0,85.0,14.0,32.0,36.0,159.0,977.0,94.0,132.0,206.0,1.0,1308.0,1545.0,963.0,80.0,62.0,85.0,1147.0,1374.0,1545.0,MN0601,Manhattan,2.0,216.5,79.5,654.0,687.0,99.5049504950495,100.0,99.5049504950495,100.0,35.65,0.0,7.614213197969544,0.4385964912280701,,,,,,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,,1.089156951198049,630.7630862974477,100.0,Stuyvesant Town-Cooper Village,0.9090909090909092,Stuyvesant Town-Cooper Village,0.9090909090909092,99.5049504950495,100.0,7.614213197969544,0.43859649122807015,48.145760784411046,Moderate Risk,92
Oakwood-Richmondtown,2311.0,60.0,156.0,716.0,140.0,1015.0,4306.0,420.0,969.0,513.0,409.0,1600.0,2422.0,893.0,184.0,289.0,181.0,1206.0,1860.0,2422.0,SI0301,Staten Island,155.0,14.90967741935484,6.548387096774194,10.32258064516129,12.0,38.613861386138616,58.415841584158414,22.277227722772277,58.91089108910891,,14.8,,65.78947368421053,1595.0,8.96551724137931,76.55172413793103,57.09655172413793,1965.0,99458.0,66.45542993993297,9.842619061788795,18.620572186115428,29.64824120603015,1.0483217557530449,11.446867275381493,56.00000000000001,,,,,22.277227722772277,56.00000000000001,,65.78947368421053,48.145760784411046,Moderate Risk,92
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heigh,1752.0,12.0,100.0,854.0,65.0,979.0,2774.0,431.0,592.0,215.0,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,218.0,8.036697247706423,4.490825688073395,0.0,0.0,6.9306930693069315,0.7425742574257426,4.455445544554455,0.99009900990099,48.252631578947366,6.1,14.467005076142131,12.5,791.0,26.51162790697674,71.62790697674419,62.06976744186046,1970.0,,,,,21.608040201005025,,,,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,0.7169811320754716,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,0.7169811320754716,4.455445544554455,,14.467005076142131,12.5,48.145760784411046,Moderate Risk,92
Bronx Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,9.0,0.0,2.0,1.0,15.0,18.0,19.0,BX2791,Bronx,0.0,,,,,,,,,63.76666666666667,7.6,23.096446700507613,21.271929824561404,,,,,,48475.0,17.850477002349553,34.07937071923219,56.382618660742,,0.8450025656272843,,,Rego Park,0.7368421052631579,Rego Park,0.7368421052631579,,,23.096446700507613,21.271929824561404,48.145760784411046,Moderate Risk,92
Highbridge Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,MN1291,Manhattan,0.0,,,,,,,,,538.361260210035,12.1,92.63959390862944,46.49122807017544,,,,,,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,,1.089156951198049,,,Highbridge,0.8,Highbridge,0.8,,,92.63959390862944,46.49122807017544,48.145760784411046,Moderate Risk,92
Marine Park-Mill Basin-Bergen Beach,5850.0,48.0,155.0,3574.0,253.0,3918.0,8771.0,1533.0,1553.0,684.0,2080.0,1647.0,2925.0,727.0,173.0,322.0,244.0,1328.0,2067.0,2925.0,BK1802,Brooklyn,450.0,13.0,8.706666666666667,3.66,4.593333333333334,26.48514851485149,16.831683168316832,46.53465346534654,20.792079207920793,,22.3,,90.13157894736842,2179.0,30.648769574944073,88.14317673378076,67.11633109619687,1960.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,64.321608040201,0.9665983064861458,4.752060191406066,21.0,,,,,46.53465346534654,21.0,,90.13157894736842,48.145760784411046,Moderate Risk,92
Long Island City-Hunters Point,4094.0,68.0,75.0,1944.0,187.0,2206.0,6552.0,1647.0,968.0,745.0,734.0,2187.0,2977.0,1134.0,104.0,306.0,145.0,1612.0,2167.0,2977.0,QN0201,Queens,377.0,10.859416445623342,5.8514588859416445,5.80106100795756,5.748010610079576,16.831683168316832,36.633663366336634,12.871287128712872,30.1980198019802,,14.3,,61.8421052631579,21769.0,61.94444444444444,63.33333333333333,73.3638888888889,1931.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,12.562814070351758,1.0,5.748010610079576,28.000000000000004,,,,,12.871287128712872,28.000000000000004,,61.8421052631579,48.145760784411046,Moderate Risk,92
Bay Ridge,45342.0,2061.0,1560.0,14051.0,1814.0,17732.0,84109.0,12991.0,17071.0,10848.0,4432.0,19253.0,27885.0,12579.0,1032.0,2070.0,2025.0,15980.0,21107.0,27885.0,BK1001,Brooklyn,1884.0,24.06687898089172,9.411889596602972,10.219214437367304,11.203290870488322,61.386138613861384,56.930693069306926,54.45544554455446,54.95049504950495,50.36716417910448,11.3,16.751269035532996,40.78947368421053,24350.0,87.03308431163286,92.26254002134472,94.7742796157951,1926.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,80.90452261306532,0.9665983064861458,11.590430890796206,56.99999999999999,Bay Ridge,1.0,Bay Ridge,1.0,54.45544554455446,56.99999999999999,16.751269035532996,40.78947368421053,48.145760784411046,Moderate Risk,92
Rockaway Community Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,QN1491,Queens,0.0,,,,,,,,,,14.3,,61.8421052631579,,,,,,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,,1.0,,,,,,,,,,61.8421052631579,48.145760784411046,Moderate Risk,92
Breezy Point-Belle Harbor-Rockaway Park-Broad Chan,6118.0,100.0,120.0,3336.0,253.0,3726.0,9552.0,2179.0,1272.0,1081.0,1586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,453.0,13.505518763796909,8.225165562913908,0.0,0.0,31.683168316831683,0.7425742574257426,42.07920792079208,0.99009900990099,73.96,12.0,26.14213197969543,44.95614035087719,4152.0,79.27107061503416,87.6993166287016,89.36674259681094,1929.0,,,,,63.31658291457286,,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0.970873786407767,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0.970873786407767,42.07920792079208,,26.14213197969543,44.95614035087719,48.145760784411046,Moderate Risk,92
Riverdale-Spuyten Duyvil,10621.0,344.0,420.0,2767.0,533.0,3718.0,20532.0,2742.0,4303.0,2804.0,772.0,8873.0,12637.0,5391.0,551.0,1059.0,1074.0,7338.0,10022.0,12637.0,BX0803,Bronx,385.0,27.587012987012987,9.657142857142857,23.046753246753248,26.03116883116883,67.32673267326733,79.20792079207921,58.91089108910891,78.21782178217822,,15.0,,70.17543859649122,18771.0,35.80901856763926,75.3315649867374,67.35278514588859,1958.0,48475.0,17.850477002349553,34.07937071923219,56.382618660742,27.1356783919598,0.8450025656272843,30.806023425319065,81.5,,,,,58.91089108910891,81.5,,70.17543859649122,48.145760784411046,Moderate Risk,92
Midtown-Times Square,6147.0,110.0,140.0,2484.0,391.0,3040.0,10501.0,2260.0,1670.0,1342.0,875.0,3786.0,5571.0,1993.0,259.0,651.0,377.0,2940.0,4227.0,5571.0,MN0502,Manhattan,394.0,15.601522842639596,7.715736040609137,9.609137055837564,10.728426395939088,41.584158415841586,54.45544554455446,39.10891089108911,53.96039603960397,,8.1,,26.096491228070175,17544.0,78.74015748031496,86.61417322834646,92.3503937007874,1921.5,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,60.80402010050251,1.089156951198049,9.850211564217677,52.0,,,,,39.10891089108911,52.0,,26.096491228070175,48.145760784411046,Moderate Risk,92
Wakefield-Woodlawn,46093.0,2184.0,2322.0,15175.0,2689.0,19926.0,89541.0,11320.0,17506.0,12971.0,4296.0,23973.0,36926.0,15852.0,1635.0,3450.0,3046.0,20600.0,28731.0,36926.0,BX1203,Bronx,1447.0,31.854181064270904,13.7705597788528,16.567380787836903,19.855563234277817,70.29702970297029,72.77227722772277,73.26732673267327,73.26732673267327,,15.0,,70.17543859649122,10152.0,72.9616724738676,86.62020905923345,84.53240418118467,1930.0,48475.0,17.850477002349553,34.07937071923219,56.382618660742,61.30653266331658,0.8450025656272843,23.49763662497062,74.5,,,,,73.26732673267327,74.5,,70.17543859649122,48.145760784411046,Moderate Risk,92
Dyker Beach Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,BK1091,Brooklyn,0.0,,,,,,,,,,22.3,,90.13157894736842,,,,,,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,,0.9665983064861458,,,,,,,,,,90.13157894736842,48.145760784411046,Moderate Risk,92
Yankee Stadium-Macombs Dam Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,3.0,1.0,3.0,3.0,3.0,10.0,10.0,BX0491,Bronx,0.0,,,,,,,,,,15.0,,70.17543859649122,,,,,,48475.0,17.850477002349553,34.07937071923219,56.382618660742,,0.8450025656272843,,,,,,,,,,70.17543859649122,48.145760784411046,Moderate Risk,92
Van Cortlandt Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,BX2691,Bronx,0.0,,,,,,,,,439.68771466314394,10.0,86.80203045685279,33.771929824561404,,,,,,48475.0,17.850477002349553,34.07937071923219,56.382618660742,,0.8450025656272843,,,Van Cortlandt Village,0.7692307692307693,Van Cortlandt Village,0.7692307692307693,,,86.80203045685279,33.771929824561404,48.145760784411046,Moderate Risk,92
St. Michael's Cemetery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,8.0,0.0,0.0,0.0,8.0,8.0,9.0,QN0171,Queens,0.0,,,,,,,,,,14.3,,61.8421052631579,,,,,,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,,1.0,,,,,,,,,,61.8421052631579,48.145760784411046,Moderate Risk,92
Chelsea-Hudson Yards,17225.0,350.0,314.0,5926.0,1074.0,7383.0,31386.0,5424.0,5563.0,4299.0,1939.0,9316.0,13809.0,4451.0,539.0,1585.0,975.0,6510.0,9609.0,13809.0,MN0401,Manhattan,1055.0,16.327014218009477,6.998104265402843,8.830331753554502,9.108056872037915,44.554455445544555,51.48514851485149,28.71287128712871,47.52475247524752,,8.1,,26.096491228070175,36693.0,85.0609756097561,88.51626016260163,110.82215447154472,1910.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,65.32663316582915,1.089156951198049,8.362483351934953,44.0,,,,,28.71287128712871,44.0,,26.096491228070175,48.145760784411046,Moderate Risk,92
Coney Island-Sea Gate,20961.0,576.0,1239.0,6390.0,839.0,8243.0,39730.0,5650.0,7875.0,5447.0,1989.0,7486.0,13442.0,3052.0,883.0,1820.0,1176.0,5402.0,9281.0,13442.0,BK1302,Brooklyn,508.0,41.261811023622045,16.226377952755904,14.736220472440944,18.26968503937008,76.73267326732673,69.80198019801979,77.72277227722772,71.28712871287128,,22.3,,90.13157894736842,13384.0,79.39393939393939,87.07070707070706,87.6949494949495,1930.0,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,62.311557788944725,0.9665983064861458,18.90101080953212,70.5,,,,,77.72277227722772,70.5,,90.13157894736842,48.145760784411046,Moderate Risk,92
Marine Park-Plumb Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BK1891,Brooklyn,0.0,,,,,,,,,,22.3,,90.13157894736842,,,,,,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,,0.9665983064861458,,,,,,,,,,90.13157894736842,48.145760784411046,Moderate Risk,92
Rikers Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,4.0,4.0,5.0,QN0151,Bronx,0.0,,,,,,,,,,15.0,,70.17543859649122,,,,,,48475.0,17.850477002349553,34.07937071923219,56.382618660742,,0.8450025656272843,,,,,,,,,,70.17543859649122,48.145760784411046,Moderate Risk,92
Howard Beach-Lindenwood,4684.0,35.0,100.0,3087.0,144.0,3311.0,6473.0,1676.0,799.0,495.0,1714.0,1434.0,2148.0,815.0,134.0,194.0,156.0,1143.0,1627.0,2148.0,QN1003,Queens,348.0,13.459770114942527,9.514367816091951,4.120689655172414,4.675287356321839,30.693069306930692,21.287128712871286,55.940594059405946,22.277227722772277,,14.3,,61.8421052631579,4264.0,20.60606060606061,74.84848484848486,63.07272727272727,1963.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,26.13065326633166,1.0,4.675287356321839,20.5,,,,,55.940594059405946,20.5,,61.8421052631579,48.145760784411046,Moderate Risk,92
Sunnyside Yards (North),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,4.0,0.0,0.0,0.0,4.0,4.0,7.0,QN0161,Queens,0.0,,,,,,,,,120.28095238095236,13.4,40.10152284263959,55.26315789473685,,,,,,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,,1.0,,,Sunset Park West,0.6153846153846154,Sunset Park West,0.6153846153846154,,,40.10152284263959,55.26315789473685,48.145760784411046,Moderate Risk,92
Freshkills Park (North),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,SI0291,Staten Island,0.0,,,,,,,,,53.6032,7.5,19.035532994923855,19.29824561403509,,,,,,99458.0,66.45542993993297,9.842619061788795,18.620572186115428,,1.0483217557530449,,,Forest Hills,0.6666666666666666,Forest Hills,0.6666666666666666,,,19.035532994923855,19.298245614035086,48.145760784411046,Moderate Risk,92
Throgs Neck-Schuylerville,12719.0,272.0,485.0,6751.0,660.0,7763.0,20401.0,3885.0,3400.0,2141.0,3293.0,4654.0,7345.0,2624.0,471.0,585.0,684.0,3880.0,5620.0,7345.0,BX1002,Bronx,1048.0,12.136450381679388,7.407442748091603,4.440839694656488,5.362595419847328,23.26732673267327,25.742574257425744,34.65346534653465,26.732673267326735,,15.0,,70.17543859649122,4128.0,51.486097794822626,71.52444870565677,71.68839884947268,1945.0,48475.0,17.850477002349553,34.07937071923219,56.382618660742,20.603015075376884,0.8450025656272843,6.346247500285904,32.5,,,,,34.65346534653465,32.5,,70.17543859649122,48.145760784411046,Moderate Risk,92
Fort Wadsworth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,SI9561,Staten Island,0.0,,,,,,,,,,14.8,,65.78947368421053,,,,,,99458.0,66.45542993993297,9.842619061788795,18.620572186115428,,1.0483217557530449,,,,,,,,,,65.78947368421053,48.145760784411046,Moderate Risk,92
St. John Cemetery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,QN0573,Queens,0.0,,,,,,,,,,14.3,,61.8421052631579,,,,,,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,,1.0,,,,,,,,,,61.8421052631579,48.145760784411046,Moderate Risk,92
Mount Eden-Claremont (West),84392.0,4646.0,4837.0,17703.0,4049.0,27024.0,178687.0,16794.0,38463.0,27916.0,1219.0,32707.0,58795.0,16864.0,3103.0,6612.0,6103.0,26943.0,42761.0,58795.0,BX0403,Bronx,588.0,143.52380952380952,45.95918367346939,55.624149659863946,72.72278911564626,97.02970297029702,92.07920792079209,98.01980198019804,93.06930693069307,,15.0,,70.17543859649122,17727.0,82.43478260869566,83.47826086956522,89.94608695652174,1925.0,48475.0,17.850477002349553,34.07937071923219,56.382618660742,49.246231155778894,0.8450025656272843,86.0622110202243,94.0,,,,,98.01980198019803,94.0,,70.17543859649122,48.145760784411046,Moderate Risk,92
Soundview Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,BX0991,Bronx,0.0,,,,,,,,,120.28095238095236,13.4,40.10152284263959,55.26315789473685,,,,,,48475.0,17.850477002349553,34.07937071923219,56.382618660742,,0.8450025656272843,,,Sunset Park West,0.72,Sunset Park West,0.72,,,40.10152284263959,55.26315789473685,48.145760784411046,Moderate Risk,92
Hell's Kitchen,26622.0,676.0,732.0,6827.0,1826.0,9494.0,51809.0,7304.0,9721.0,7733.0,1864.0,15481.0,23715.0,8018.0,1073.0,2459.0,1716.0,11208.0,16456.0,23715.0,MN0402,Manhattan,999.0,26.64864864864865,9.503503503503504,15.496496496496496,16.47247247247247,65.84158415841584,71.28712871287128,55.44554455445545,68.31683168316832,,8.1,,26.096491228070175,33092.0,87.39406779661016,90.36016949152544,101.8135593220339,1920.0,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,73.86934673366834,1.089156951198049,15.124057606530544,64.0,,,,,55.44554455445545,64.0,,26.096491228070175,48.145760784411046,Moderate Risk,92
Inwood Hill Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,10.0,0.0,0.0,1.0,11.0,12.0,12.0,MN1292,Manhattan,0.0,,,,,,,,,,8.1,,26.096491228070175,,,,,,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,,1.089156951198049,,,,,,,,,,26.096491228070175,48.145760784411046,Moderate Risk,92
Calvary & Mount Zion Cemeteries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,3.0,4.0,4.0,QN0271,Queens,0.0,,,,,,,,,,14.3,,61.8421052631579,,,,,,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,,1.0,,,,,,,,,,61.8421052631579,48.145760784411046,Moderate Risk,92
The Battery-Governors Island-Ellis Island-Liberty Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,MN0191,Manhattan,0.0,,,,,,,,,,8.1,,26.096491228070175,,,,,,112969.0,51.369159385915786,13.978187639011406,26.08064400025865,,1.089156951198049,,,,,,,,,,26.096491228070175,48.145760784411046,Moderate Risk,92
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3098.0,4328.0,1882.0,191.0,347.0,298.0,2449.0,3285.0,4328.0,QN1403,Queens,0.0,,,,,,,,,73.96,12.0,26.14213197969543,44.95614035087719,,,,,,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,,1.0,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1.0,,,26.14213197969543,44.95614035087719,48.145760784411046,Moderate Risk,92
Lincoln Terrace Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,BK0891,Brooklyn,0.0,,,,,,,,,42.9125,10.7,9.898477157360407,37.719298245614034,,,,,,75883.0,40.37452658997243,30.021067073878548,18.767145550039356,,0.9665983064861458,,,Windsor Terrace,0.6285714285714286,Windsor Terrace,0.6285714285714286,,,9.898477157360407,37.719298245614034,48.145760784411046,Moderate Risk,92
Queens Village,9187.0,240.0,368.0,3945.0,521.0,4710.0,16216.0,1545.0,3375.0,1827.0,2440.0,4519.0,7752.0,2578.0,376.0,875.0,630.0,3747.0,5628.0,7752.0,QN1303,Queens,744.0,12.348118279569892,6.330645161290323,6.073924731182796,7.564516129032258,24.257425742574256,39.6039603960396,18.81188118811881,41.089108910891085,176.89999999999998,18.8,52.53807106598985,84.86842105263158,2544.0,81.32611637347767,93.64005412719892,87.95669824086603,1930.0,84981.5,30.567642930107013,17.63424418691081,28.047324460527907,86.4321608040201,1.0,7.564516129032258,40.5,Queens Village,1.0,Queens Village,1.0,18.81188118811881,40.5,52.53807106598985,84.86842105263158,47.64965780793037,Moderate Risk,138
